url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45604043&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,노보노디스크제약(주),[글로벌 제약사] Clinical Trial Administrator 채용,스크랩,경력 1년 ↑,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,서울 송파구,X,X,2023.04.28 19:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603676&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,(주)시지바이오,줄기세포치료제 개발 연구원,2,경력 3년 ↑,석사졸업 이상,정규직,면접 후 결정,경기 성남시 중원구,X,X,2023.04.28 18:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603318&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,닥터파인드,[긴급]유명제약사 임상 CRA,스크랩,경력 2년 ↑,"대졸(2,3년제) 이상",정규직,면접 후 결정,경기 성남시 분당구,X,X,2023.04.28 17:00,2023.05.04 16:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603199&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,㈜바이오니아,결핵진단 연구원 모집,스크랩,경력 3년 ↑,대졸(4년제) 이상(예정자 가능),정규직 수습기간 3개월,면접 후 결정,대전 대덕구,X,"전공:생명과학, 생명/환경공학|보유역량:보훈대상자|자격/능력:컴퓨터활용능력 우수, 문서작성 우수자, PPT능력 우수자",2023.04.28 17:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603095&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,세명대학교산학협력단,세명대학교 화장품임상연구지원센터 연구원 채용 공고,2,무관(신입포함),대졸(4년제) 이상(예정자 가능),계약직,면접 후 결정,충북 청주시 흥덕구,X,"전공:화학공학, 식품/유전/바이오, 화학|활동/경험:해당직무 근무경험",2023.04.28 17:00,2023.05.04 12:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45602471&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,아주대학교병원임상역학센타,"수행비서, 사무, 총무 경력사원 모집 공고",스크랩,경력(년수무관),"대졸(2,3년제) 이상",계약직,면접 후 결정,"경기 수원시 영통구, 안성시",자격증:1종보통운전면허,근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.28 16:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45602205&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,(주)드래곤플라이,[드래곤플라이] 임상 디지털치료제 PM-CRO,1,경력 2~5년,학력무관,정규직,면접 후 결정,서울 서초구,X,X,2023.04.28 16:00,2023.05.31 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45601840&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,(주)뉴라클사이언스,"생산기술본부 연구원 모집 (석사, 3년이상)",1,경력 3~15년,석사졸업 이상,정규직,면접 후 결정,서울 성북구,X,X,2023.04.28 15:00,2023.05.31 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45601440&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,뉴로핏(주),[의료AI기업] 임상시험 모니터 요원(CRA) 계약직,1,경력 1년 ↑,"대졸(2,3년제) 이상","계약직, 파트 근무",면접 후 결정,서울 강남구,활동/경험:해당직무 근무경험,X,2023.04.28 15:00,2023.05.03 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45601166&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,원텍 (주),원텍(주) 임상 의료기기 PM (Project Manager) / CRO 업무,스크랩,경력 1년 ↑,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,"경기 성남시 분당구, 광주시, 성남시, 수원시, 용인시",활동/경험:해당직무 근무경험,"전공:공학계열, 간호학",2023.04.28 15:00,2023.06.27 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45600771&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,대화기기㈜,[대화기기] 의료기기 기획 담당자 채용,1,신입·경력(년수무관),"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 강남구,X,X,2023.04.28 14:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45600760&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=89cd75e9-7024-4ded-b8c4-6a962fd573ef,대화기기㈜,[대화기기] 의료기기 연구지원 담당자 정규직 채용,스크랩,무관,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 강남구,X,X,2023.04.28 14:00,채용시 마감
