url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45536505&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(재)강원테크노파크,강원테크노파크 신규직원 채용공고,1,,고교졸업 이상 각 모집 부문에 따라 상이함,"정규직, 계약직 근무",면접 후 결정,"강원 강릉시, 강원전체, 삼척시, 원주시, 춘천시,",X,X,2023.04.20 00:00,2023.05.10 12:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535788&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,세명대학교산학협력단,세명대학교 피부화장품임상센터 행정연구원 채용,스크랩,무관(신입포함),"대졸(2,3년제) 이상",계약직,면접 후 결정,충북 제천시,X,자격증:2종보통운전면허|근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.19 16:00,2023.05.02 18:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535507&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)수앤수메드,의료기기 제조업 RA 인허가 경력 채용,1,,대졸(4년제) 이상,정규직,면접 후 결정,경기,X,X,2023.04.19 00:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45534588&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)옵티팜,파지사업팀 생물의약품 연구원 채용,스크랩,경력 5년 ↑,박사졸업,정규직,X,"충북 청주시 흥덕구,",X,X,2023.04.19 00:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45534341&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)래피젠,2023 신입/경력 공개채용,1,신입·경력,"대졸(2,3년제) 이상",정규직,면접 후 결정,"경기 안양시 동안구, 수원시",X,X,2023.04.20 00:00,2023.05.04 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45533715&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)메디웨일,의료기기 인허가 (RA) 경력직 채용 (FDA / SaMD),1,경력 5년 ↑,대졸(4년제) 이상,정규직,X,"서울 구로구, 금천구, 서초구",X,X,2023.04.19 00:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45528475&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,비전서치,임상개발팀,스크랩,경력 3년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,서울,X,X,2023.04.18 23:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45527994&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)아츠코리아,[유망 스타트업]Medical Education Specialist,스크랩,경력 1년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,"서울 강남구, 경기 수원시, 화성시",X,X,2023.04.18 18:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45527462&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)코어잡,화장품 연구소장 초빙,1,경력 15년 ↑,박사졸업,정규직,면접 후 결정,서울,X,X,2023.04.18 17:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45526760&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,순천향대학교부속천안병원,순천향대학교 부속 천안병원 각 분야별 직원 채용,64,신입·경력,학력무관(예정자 가능) 부문별 상이,"정규직, 계약직",면접 후 결정,"충남 천안시 동남구, 천안시",X,X,2023.04.18 00:00,2023.04.22 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45526645&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,주식회사 휴사이언스,[휴사이언스]분석담당자 신입/경력 채용,2,무관(신입포함),대졸(4년제) 이상(예정자 가능) 석사 우대,정규직 수습기간 3개월,면접 후 결정,경기 광명시,X,"전공:의/약학, 임상병리학",2023.04.18 16:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45526237&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,대화제약(주),"2023년 수시 채용(임상, 제제연구1, 연구기획)",50,신입·경력,대졸(4년제) 이상(예정자 가능) 모집부문별 상이함,정규직 수습기간 3개월,면접 후 결정,"서울 서초구, 강남구, 경기 성남시 분당구",X,X,2023.04.18 00:00,2023.04.24 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45525657&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=bec5931e-d827-40d1-9abc-fa286a81652e,(주)아이비스바이오,의약/생명과학 연구원 채용,6,무관(신입포함),석사졸업 이상,"정규직, 계약직 근무형",면접 후 결정,경기 성남시 분당구,X,"전공:의/약학, 생명과학",2023.04.18 15:00,2023.05.18 23:59
