url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45430257&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)코렌텍,(주)코렌텍 연구부문 메디컬라이터 공개채용,2,무관(신입포함),대졸(4년제) 이상(예정자 가능),정규직 수습기간 3개월,면접 후 결정,서울 서초구,외국어능력:력영어가능자,"전공:의/약학, 생명과학, 간호학|외국어:TOEIC 700급(점) 이상|활동/경험:해당직무 인턴경력, 해당직무 근무경험, 석사학위 수여자|자격/능력:통계분석능숙자",2023.04.05 18:00,2023.04.22 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45043221&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)엠바이오,MW(메디컬라이터) 정규직 모집 공고 - 경력/신입,31,신입·경력 1년 ↑,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 서초구 (재택근무 가능),X,X,2023.02.13 10:00,2023.04.14 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45327322&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)에비드넷,Medical Writer (메디컬 라이터),4,경력 1~8년,학력무관,정규직 수습기간 3개월,면접 후 결정,경기 성남시 분당구,활동/경험:해당직무 근무경험,X,2023.03.22 17:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45429206&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,엠엠케이커뮤니케이션즈(주),IQVIA MMK MCS(Medical & Creative Service) 메디칼라이터 채용,1,신입·경력 5년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,서울 중구 (재택근무 가능),X,"전공:의/약학, 생명과학|자격증:약사",2023.04.05 16:00,2023.04.19 16:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45365987&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,메디컬아이피(주),[서울대병원 1호 스타트업] 2023 상반기 대규모 인재채용,372,신입·경력,학력무관 부문별 상이함,"정규직, 병역특례 근무형",면접 후 결정,"서울 종로구, 동대문구, 마포구, 서대문구, 성동구, 성북구, 용산구, 중구, 인천전체,",X,X,2023.03.28 00:00,2023.04.09 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45412785&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)티맥스티베로,2023 TmaxGroup 경력직 대규모 채용,33,,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 성남시,X,X,2023.04.05 00:00,2023.04.26 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45211725&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)동구밭,(주)동구밭 2023년 각 부문별 상반기 경력직 채용,284,,학력무관 부문별 상이,"계약직 3개월, 정규직 전환 가능",면접 후 결정,"서울 성동구, 강남구, 광진구, 서초구, 송파구, 경기 구리시, 남양주시, 성남시, 성남시 분당구,",X,활동/경험:해당직무 근무경험,2023.03.07 00:00,2023.04.22 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45205160&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)레즈메드헬스케어코리아,레즈메드코리아 Senior Clinical Specialist(교육간호사) 모집,46,경력 5년 ↑,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,"서울 강남구, 서울전체, 경기전체 (재택근무 가능)",X,X,2023.03.07 10:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45368068&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,(주)페리플렉스,[디지털마케팅/연봉3000+] 닥터마인즈 2023 콘텐츠 마케터 채용,43,무관(신입포함),대졸(4년제) 이상(예정자 가능),정규직 수습기간 3개월,"연봉 3,000 만원 (주 40시간) 근무","서울전체, 서울 서초구",X,"활동/경험:공모전 입상자, 해당직무 인턴경력, 해당직무 근무경험|자격/능력:컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자, 포토샵 능숙자, PPT능력 우수자",2023.03.28 17:00,2023.05.27 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45372484&location=ts&searchword=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=4bf6b0c3-8088-41cf-9831-83ab8fbff146,주식회사 엘리튜드,임상 Medical Writer 프리랜서 채용 [재택근무],4,경력 2년 ↑,"대졸(2,3년제) 이상","정규직, 프리랜서",면접 후 결정,서울 종로구,X,X,2023.03.29 11:00,2023.04.28 23:59
