url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45604237&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,(주)에스이인터내셔널,(주)에스이인터내셔널 신입/경력 정규직 채용,스크랩,신입·경력 1년 ↑,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 수원시 장안구,X,X,2023.04.28 20:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45604236&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,넷마블에프앤씨(주),[넷마블에프앤씨] 평가/보상 운영 담당 채용,3,경력 2년 ↑,학력무관,정규직 수습기간 3개월,면접 후 결정,서울 구로구,X,X,2023.04.28 20:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45604100&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,(주)에스에프이노텍,제조기술팀 신입/경력사원 채용,스크랩,신입·경력 3년 ↑,"대졸(2,3년제) 이상",정규직,면접 후 결정,충남 아산시,X,기타:자동차 LAMP 전장 경험자,2023.04.28 19:00,2023.06.27 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45604078&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,지팜,[부산] 유통관리&구매관리&거래처관리 외 정규직 채용 공고,6,무관(신입포함),"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,부산 동래구,X,"전공:사회복지학|자격/능력:컴퓨터활용능력 우수, 문서작성 우수자|근무조건:인근거주자|활동/경험:해당직무 근무경험",2023.04.28 19:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45604018&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,람정제주개발(주),[복합리조트] 제주신화월드 통합지원 사원 모집,1,무관(신입포함),학력무관,"정규직, 계약직 근무형",면접 후 결정,제주 서귀포시,X,X,2023.04.28 19:00,2023.05.05 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603863&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,제일전자공업(주),제일전자공업(주) 안전관리자 구인,1,경력 1~7년,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,경남 김해시,X,"자격증:산업안전기사|근무조건:인근거주자, 운전가능자, 차량소지자|활동/경험:해당직무 근무경험",2023.04.28 18:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603851&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,서울대학교치과병원,서울대학교치과병원 기간제근무자(간호직-마취) 채용 공고,스크랩,무관(신입포함),학력무관,계약직 6개월 - 기간제,면접 후 결정,서울 종로구,자격증:간호사|활동/경험:해당직무 근무경험,X,2023.04.28 18:00,2023.05.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603832&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,서울대학교치과병원,서울대학교치과병원 기간제근무자(간호직-수술장) 채용 공고,스크랩,무관(신입포함),학력무관,계약직 1개월 - 기간제,면접 후 결정,서울 종로구,자격증:간호사,X,2023.04.28 18:00,2023.05.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603826&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,(주)베로스컨설팅그룹,EHS MANAGER 채용 [외국계],스크랩,경력 10년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,서울 강남구,X,X,2023.04.28 18:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603797&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6f644f75-ea3f-40a5-8c01-912976498485,에스지생활안전(주),필슨 온라인 쇼핑몰 CS담당 (경력 무관),스크랩,경력 1년 ↑,"대졸(2,3년제) 이상(예정자 가능)","계약직 1년, 정규직 전환 가능",면접 후 결정,서울 서초구,X,"활동/경험:해당직무 인턴경력, 해당직무 알바경험|자격/능력:통계분석능숙자, 컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자|근무조건:인근거주자",2023.04.28 18:00,2023.05.28 23:59
