url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45368327&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,롯데오토케어(주),"[롯데오토케어] 정규직 채용 (보건관리자, 차량정비사)",141,신입·경력,학력무관 부문별 상이,정규직 수습기간 3개월,면접 후 결정,"서울 강남구, 서초구, 경기 성남시 분당구, 성남시 수정구, 성남시 중원구, 안산시 상록구, 이천시, 화성시, 강원 원주시, 충남",X,X,2023.03.29 00:00,2023.04.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45375348&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,주식회사 아난티코브 부산지점(힐튼부산),[아난티힐튼부산] 보건관리자 모집,213,무관(신입포함),학력무관,정규직 수습기간 3개월,면접 후 결정,부산 기장군,전공:공간호학,"자격증:산업위생관리기사, 산업위생관리산업기사, 산업보건지도사(직업환경의학)|활동/경험:해당직무 인턴경력, 해당직무 근무경험",2023.03.29 15:00,2023.04.30 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45315152&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)한화,주)한화건설 부산 기장군 오시리아메디타운현장 보건관리자 채용,60,경력 2년 ↑,학력무관,계약직 1년4개월 - 기간제,면접 후 결정,부산 기장군,"전공:공간호학|자격증:산업위생관리기사, 환경관리기사",근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.03.21 14:00,2023.04.20 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45363141&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(의)삼광의료재단,[삼광의료재단] 2023년 보건관리자 신입/경력 수시채용,67,신입·경력 2년 ↑,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 서초구,X,"자격증:간호사, 산업위생관리기사",2023.03.28 11:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45392807&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,동희오토(주),[동희오토] 보건관리자 정규직 신입사원 채용,45,신입,대졸(4년제) 이상(예정자 가능),정규직 수습기간 3개월,면접 후 결정,충남 서산시,X,"전공:의/약학, 간호학|자격증:대기환경산업기사, 산업위생관리기사, 산업위생관리산업기사",2023.03.31 15:00,2023.04.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45392607&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)케이피에프,KPF 충주공장 보건관리자(간호사) 모집,30,신입·경력 1~3년,대졸(4년제) 이상,계약직 1년6개월 - 기간제,면접 후 결정,충북 충주시,X,X,2023.03.31 15:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45381104&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,롯데정보통신(주),[롯데정보통신] 보건관리자 정규직 경력채용,124,경력 2~5년,대졸(4년제) 이상,정규직,면접 후 결정,"서울 금천구,",X,X,2023.03.30 00:00,2023.04.14 18:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45361096&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)포스코건설,[서부내륙13공구] 보건관리자 모집(4월 중 채용예정),64,신입·경력(년수무관),"대졸(2,3년제) 이상(예정자 가능)",계약직,면접 후 결정,경기 평택시,"자격증:대기환경기사, 산업위생관리기사, 간호사",자격/능력:컴퓨터활용능력 우수|활동/경험:해당직무 근무경험,2023.03.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45438184&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)현대백화점,현대백화점 신촌점 보건관리자(간호사) 무기계약직 채용,18,무관(신입포함),학력무관,계약직 1년 - 무기계약직,"연봉 2,600 만원 (주 40시간) 근무",서울 서대문구,자격증:간호사,"자격증:산업안전보건강사, 산업보건지도사(산업위생공학)",2023.04.06 15:00,2023.04.16 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45277156&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)두원에이앤씨,2023 상반기 보건관리자 채용,138,무관(신입포함),학력무관,정규직 수습기간 3개월,면접 후 결정,서울 영등포구,X,"자격증:산업위생관리기사, 산업위생관리산업기사, 산업보건지도사(산업위생공학)",2023.03.16 08:00,2023.04.15 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45399678&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)대연,(주)대연 보건관리자 채용,43,경력 1~6년,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 영등포구,X,X,2023.04.03 09:00,2023.05.03 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45423288&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,유한책임회사휴먼서플라이,유한책임회사 휴먼서플라이 청원HUB 야간 보건관리자 채용,6,무관(신입포함),"대졸(2,3년제) 이상","정규직, 계약직 근무",면접 후 결정,충북 청주시 서원구,X,X,2023.04.05 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45370734&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,씨아이에스(주),씨아이에스(주) 보건관리자 / 기계설비유지관리 담당자 채용,55,무관(신입포함),"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,대구 동구,X,"자격증:건축설비산업기사, 산업위생관리기사, 건축기계설비산업기사|활동/경험:해당직무 근무경험",2023.03.29 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45394657&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,파워마스터반도체(주),안전보건관리자 모집,16,경력 3년 ↑,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,충북 청주시 흥덕구,자격증:산업안전기사,"자격증:위험물산업기사, 산업위생관리기사",2023.03.31 17:00,2023.04.30 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45402795&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)심텍,(주)심텍 안전보건대응팀 안전/보건관리자 경력직 채용,19,경력 3년 ↑,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,"충북 청주시 흥덕구, 충북전체, 경기전체",X,X,2023.04.03 11:00,2023.04.23 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45406397&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,대전청사아람어린이집,2023년 상반기 보건관리자 경력무관 채용,24,무관(신입포함),학력무관,"계약직 9개월, 정규직 전환 가능",면접 후 결정,대전 서구,X,X,2023.04.03 00:00,2023.04.10 14:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45375321&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,한국공항㈜,한국공항(주) 본사 보건관리자 모집,116,신입,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 강서구,"자격증:산업위생관리산업기사, 2종보통운전면허",자격증:산업위생관리기사|활동/경험:해당직무 근무경험,2023.03.29 15:00,2023.04.07 09:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45402806&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,㈜우보테크,(주)우보테크 울산공장 안전보건관리자/총무 경력사원 모집,8,경력 3~4년,대졸(4년제) 이상,정규직 수습기간 3개월,"연봉 4,500 만원 (주 40시간) 근무",울산 울주군,X,"전공:산업공학, 기계/자동차/조선공학, 공학계열|자격증:위험물산업기사, 산업안전기사, 소방기계기사|근무조건:인근거주자|활동/경험:해당직무 근무경험",2023.04.03 10:00,2023.04.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45259128&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,쿠팡(주),[쿠팡풀필먼트서비스] 보건관리자(청주1 물류센터),49,경력 3년 ↑,학력무관,정규직 수습기간 3개월,면접 후 결정,충북 청주시 서원구,X,X,2023.03.14 09:00,2023.05.13 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45260085&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,지멘스(주),[EHS] Health manager(보건관리자),54,경력 2년 ↑,대졸(4년제) 이상,"계약직 1년, 정규직 전환 가능",면접 후 결정,서울 종로구,X,X,2023.03.14 10:00,2023.04.13 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45438557&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,중흥토건(주),[중흥토건(주)] 오산세교2지구 A-4블럭 보건관리자 채용,9,무관(신입포함),학력무관,"계약직 1년3개월, 정규직 전환 가능 - 기간제","연봉 4,000 만원 (주 40시간) 근무",경기 오산시,"자격증:간호사, 산업위생관리기사","전공:생명/환경공학, 간호학",2023.04.06 16:00,2023.05.06 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45339803&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,(주)선진운수,(주)선진운수 보건관리자 채용,45,무관(신입포함),"대졸(2,3년제) 이상","계약직 1년, 정규직 전환 가능",면접 후 결정,서울 은평구,자격증:산업위생관리기사,"자격/능력:컴퓨터활용능력 우수, 문서작성 우수자",2023.03.24 11:00,2023.04.23 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45375575&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,계룡건설산업(주),보건관리자 모집 - 대구 수성구 물류센터(건축),36,무관(신입포함),고교졸업 이상,계약직 기간제,면접 후 결정,대구 수성구,X,"전공:간호학|자격증:대기환경기사, 산업위생관리기사, 간호사",2023.03.29 15:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45235736&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,코오롱글로벌(주),코오롱글로벌(주) 보건관리자 경력사원 모집합니다,46,경력 5~10년,"대졸(2,3년제) 이상",계약직 정규직 전환 가능,면접 후 결정,서울 강서구,X,자격증:산업위생관리기사,2023.03.10 11:00,2023.05.09 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45313752&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,의료법인광명의료재단,[광명성애병원] 보건관리자 채용,39,무관(신입포함),학력무관,"계약직 2년, 정규직 전환 가능 - 기간제",면접 후 결정,경기 광명시,X,자격증:산업위생관리기사|활동/경험:해당직무 근무경험,2023.03.21 12:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45359883&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,디엘건설(주),DL건설 e편한세상 헤이리 [보건관리자 채용],16,경력 4~5년,"대졸(2,3년제) 이상",계약직 2년8개월 - 기간제,월급 350 만원 (주 52시간) 근무,경기 파주시,활동/경험:해당직무 근무경험,X,2023.03.28 08:00,2023.04.27 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45259432&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6cae2f7c-9196-417f-b626-482f99383c5a,두산건설(주),건설현장 보건관리자 모집 (서울 영등포 건축현장),100,신입·경력 1년 ↑,"대졸(2,3년제) 이상 안전관리자 선임 가능한 자격증 필수",계약직,면접 후 결정,서울,X,X,2023.03.14 10:00,2023.04.13 23:59
