url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603993&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,서울대학교치과병원,서울대학교치과병원 기간제근무자(장애인제한경쟁) 채용 공고,스크랩,무관(신입포함),학력무관,계약직 6개월 - 기간제,면접 후 결정,서울 종로구,보유역량:장애인우대,X,2023.04.28 19:00,2023.05.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603851&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,서울대학교치과병원,서울대학교치과병원 기간제근무자(간호직-마취) 채용 공고,스크랩,무관(신입포함),학력무관,계약직 6개월 - 기간제,면접 후 결정,서울 종로구,자격증:간호사|활동/경험:해당직무 근무경험,X,2023.04.28 18:00,2023.05.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603832&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,서울대학교치과병원,서울대학교치과병원 기간제근무자(간호직-수술장) 채용 공고,스크랩,무관(신입포함),학력무관,계약직 1개월 - 기간제,면접 후 결정,서울 종로구,자격증:간호사,X,2023.04.28 18:00,2023.05.07 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603706&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)시지바이오,생산물류팀 물류파트(수출담당),스크랩,신입·경력(년수무관),"대졸(2,3년제) 이상","정규직, 인턴직 근무형",면접 후 결정,경기 화성시,X,X,2023.04.28 18:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603692&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)케이티아이에스,[금천구/일4시간근무] 레드캡 렌트카 회사 고객센터 상담원모집,1,무관(신입포함),고교졸업 이상,계약직,면접 후 결정,서울 금천구,X,X,2023.04.28 18:00,2023.05.04 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603667&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)케이티아이에스,[금천구/주4일] 레드캡 렌트카 회사 고객센터 상담원모집,1,무관(신입포함),고교졸업 이상,계약직,월급 226 만원 (주 40시간) 근무,서울 금천구,X,X,2023.04.28 18:00,2023.05.08 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603630&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,중앙화재특종손해사정(주),"광주-손해사정 1종(재물,대인 및 대물) 경력 및 신입직원 모집",스크랩,신입·경력(년수무관),"대졸(2,3년제) 이상 업무관련 학력 및 경력자 우대",정규직 수습기간 3개월,면접 후 결정,광주 북구,X,"전공:법학계열, 건축/토목/조경/도시공학|자격증:손해사정사 1종 , 건축기사, 신체손해사정사|근무조건:운전가능자, 차량소지자",2023.04.28 18:00,2023.05.26 18:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603476&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,주식회사 에이치에스88,사무보조 채용(초보가능/신입),1,무관(신입포함),학력무관,"정규직, 계약직, 아르바이트",면접 후 결정,서울 강남구,X,X,2023.04.28 17:00,2023.05.10 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603309&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)넥스젠파이낸스대부,[광주상무역] 채권추심직 신입 정규직 모집 (영업전화x),스크랩,신입,고교졸업 이상 검정고시 무관,정규직 수습기간 3개월,면접 후 결정,광주 서구,X,X,2023.04.28 17:00,2023.05.05 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603290&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)넥스젠파이낸스대부,[구로디지털단지역] 채권추심직 정규직 모집 (영업전화x),스크랩,신입,고교졸업 이상 검정고시 무관,정규직,"연봉 3,000 만원 (주 40시간) 근무","서울 구로구, 관악구, 금천구, 동작구, 영등포구, 경기전체, 경기 광명시, 부천시, 안산시, 안양시",X,X,2023.04.28 17:00,2023.05.05 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603286&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)씨아이템프러리,[국회의사당역]월350만-현대캐피탈 단기채권팀 大규모채용,스크랩,무관(신입포함),학력무관,"계약직, 파견직 근무",면접 후 결정,"서울 동작구, 서울전체, 강남구, 강북구, 강서구, 인천전체, 인천 계양구, 미추홀구, 남동구, 부평구",X,근무조건:인근거주자,2023.04.28 17:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603283&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)넥스젠파이낸스대부,[구로디지털단지역] 외국인 대출심사직 계약직 모집 (미얀마),1,신입,고교졸업 이상 검정고시 무관,계약직,"연봉 3,000 만원 (주 40시간) 근무","서울 구로구, 관악구, 금천구, 동작구, 영등포구, 경기 광명시, 부천시, 시흥시, 안산시, 안양시",X,X,2023.04.28 17:00,2023.05.05 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603270&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,(주)넥스젠파이낸스대부,[용문역] 채권추심직 신입 정규직 모집 (영업전화x),스크랩,신입,고교졸업 이상 검정고시 무관,정규직 수습기간 3개월,면접 후 결정,"대전 서구, 대덕구, 동구, 유성구, 중구",X,X,2023.04.28 17:00,2023.05.05 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45603235&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=77241e7c-1183-4f84-945b-db418735a60f,나누리병원,[나누리병원] 의학연구팀 연구직 채용,스크랩,무관(신입포함),학력무관,정규직 수습기간 3개월,면접 후 결정,서울 강남구,X,X,2023.04.28 17:00,2023.05.11 23:59
