url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45537343&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(사)한국의료행정실무협회,[정규직] 보건행정/회계 담당자 채용공고,스크랩,무관,"대졸(2,3년제) 이상",정규직 수습기간 3개월,"연봉 2,500 만원 (주 40시간) 근무",서울 양천구,X,"자격증:병원행정사, 보험심사평가사, 보건의료정보관리사|기타:더존/회계 가능자",2023.04.19 22:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45536907&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(주)알펜시아,양식조리 경력 채용,스크랩,경력 3~10년,고교졸업 이상,정규직 수습기간 3개월,면접 후 결정,강원,X,활동/경험:해당직무 근무경험,2023.04.19 00:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45536283&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(주)케이티아이에스,[월250만/KT텔레캅] 보안상품(판매형) 관련 아웃바운드 채용,스크랩,무관(신입포함),고교졸업 이상,정규직,월급 250 만원 (주 40시간) 근무,"서울 구로구, 서울전체, 관악구, 금천구, 영등포구, 경기 광명시, 부천시, 시흥시, 안산시, 안양시",X,X,2023.04.19 17:00,2023.04.27 16:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45536233&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,리더스손해사정(주),[리더스손해사정] 접수 및 정보입력팀 직원 채용(부산),3,신입·경력(년수무관),"대졸(2,3년제) 이상(예정자 가능)",정규직,면접 후 결정,부산 동구,X,X,2023.04.19 17:00,2023.05.19 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45536108&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(주)천재교과서,[천재교과서 해법에듀BU] IT 각 부문 경력직 인재 모집,1,경력 1년 ↑,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 금천구,X,X,2023.04.19 16:00,2023.06.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535435&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,동국대학교 경주캠퍼스,동국대학교 WISE캠퍼스 대학일자리플러스센터 컨설턴트 모집,1,신입·경력 1년 ↑,대졸(4년제) 이상,계약직 1년,면접 후 결정,경북 경주시,X,X,2023.04.19 16:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535300&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,삼육보건대학 산학협력단,2023년 삼육보건대학교 산학협력단 연구원 채용 공고,1,무관,"대졸(2,3년제) 이상",계약직 기간제,면접 후 결정,서울 동대문구,X,X,2023.04.19 16:00,2023.04.25 17:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535235&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(주)케이티아이에스,[첫달250만/정착금80만]BC카드 승인/분실 단순 상담사 모집,스크랩,무관(신입포함),고교졸업 이상,정규직,월급 270 만원 (주 40시간) 근무,"서울 중구, 서울전체, 동대문구, 은평구, 종로구, 경기 고양시, 김포시, 부천시, 부천시 소사구, 의왕시",X,X,2023.04.19 16:00,2023.04.25 13:00
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535211&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(주)케이티아이에스,[수원 성빈센트병원/정착금60만] 원내방송 및 전화교환 상담사,스크랩,무관(신입포함),고교졸업 이상,계약직,면접 후 결정,"경기 수원시 팔달구, 군포시, 수원시, 수원시 권선구, 오산시",X,X,2023.04.19 16:00,2023.05.02 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45535190&location=ts&searchword=%EB%B3%B4%ED%97%98%EC%8B%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=16826867-a4e9-423f-a852-320ccb498ce4,(주)페퍼저축은행,DBMS관리/시스템운영 인프라 인력모집,스크랩,경력 3~10년,학력무관,"정규직, 계약직 근무",면접 후 결정,경기 성남시 분당구,X,X,2023.04.19 15:00,2023.05.19 23:59
